hair,feathers,eggs,milk,airb0rne,aquatic,predat0r,t00thed,backb0ne,breathes,ven0m0us,fins,legs,tail,d0mestic,catsize,type
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,3
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,3
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,4
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,4
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,4
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,3
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,4
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,4
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,6
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,3
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,7
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,3
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,6
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,7
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,7
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,6
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,2
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,3
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,4
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,7
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,3
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,4
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3
